,author_id,author_id_new,conv_id_new,conversation_id,created_at,entities.mentions,id,id_new,in_reply_to_user_id,lang,public_metrics.like_count,public_metrics.quote_count,public_metrics.reply_count,public_metrics.retweet_count,referenced_tweets,reply_settings,source,text,users.created_at,users.description,users.id,users.name,users.public_metrics.followers_count,users.public_metrics.following_count,users.public_metrics.listed_count,users.public_metrics.tweet_count,users.username,users.verified,users.withheld.country_codes
0,351846051,author_id: 351846051,coversation_id: 925120009566859264,925120009566859264,2018-01-13T19:49:54.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 13, 'end': 26, 'username': 'GavinBarwell', 'id': '242943134'}, {'start': 27, 'end': 42, 'username': 'PrideOfBritain', 'id': '167345068'}]",952266476609818630,id: 952266476609818630,747807250819981312,en,1,0,0,0,"[{'type': 'replied_to', 'id': '925120009566859264'}]",everyone,Twitter Web App,"@theresa_may @GavinBarwell @PrideOfBritain Was on the other side of red carpet 2017 - surreal moment watching the winners, celebs and PM arrive.
#luckytohavebeenawinner16
#lillianslaw 
#drugdriving",2011-08-09T20:19:38.000Z,Lillian was killed by a drug driver. Our campaign forced the Government to introduce a new drug drive law 2nd March 2015. PrideofBritian 16. Michaela Groves MBE,351846051,Lillian's Law,1677,371,13,9159,LilliansLaw1,False,
1,568255917,author_id: 568255917,coversation_id: 925120009566859264,925120009566859264,2017-11-12T08:01:09.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 13, 'end': 28, 'username': 'PrideOfBritain', 'id': '167345068'}]",929620063484772352,id: 929620063484772352,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '925120009566859264'}]",everyone,Twitter for iPhone,@theresa_may @PrideOfBritain You look like you would’ve been a great mum  🙁,2012-05-01T12:48:16.000Z,"momma of 3, proud nana of 1 1/2 grandchildren, dog lover, non-conformist and #fibromyalgiawarrior. love 90 day fiancée,TeenMom,Corrie & easty.",568255917,JoAnn,23,87,0,607,JoAnnStamp,False,
2,309954168,author_id: 309954168,coversation_id: 925120009566859264,925120009566859264,2017-11-10T15:41:32.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 13, 'end': 28, 'username': 'PrideOfBritain', 'id': '167345068'}]",929011149290471425,id: 929011149290471425,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '925120009566859264'}]",everyone,Twitter for Android,@theresa_may @PrideOfBritain Jacob ree s is  now telling lewd jokes in order to revert attention to his hiding money in offshore accounts,2011-06-02T23:26:56.000Z,,309954168,clarissa,372,5001,10,18553,shabina8,False,
3,1081122589,author_id: 1081122589,coversation_id: 925120009566859264,925120009566859264,2017-11-09T23:45:21.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 13, 'end': 28, 'username': 'PrideOfBritain', 'id': '167345068'}, {'start': 121, 'end': 129, 'username': 'YouTube', 'id': '10228272'}]",928770515401084928,id: 928770515401084928,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '925120009566859264'}]",everyone,Twitter for iPhone,@theresa_may @PrideOfBritain The Million Pound Salute - Broughton House Fundraising Campaign https://t.co/geX8rHuk7o via @YouTube,2013-01-11T22:26:02.000Z,"Drummer for @orphanboyuk @thedarlies , club promoter 9-5 office monkey check our new album out #coastaltones on @itunes #newmusic",1081122589,Chris Orphan,548,1354,8,2060,chris_day82,False,
4,222638495,author_id: 222638495,coversation_id: 925120009566859264,925120009566859264,2017-11-09T00:09:00.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 13, 'end': 28, 'username': 'PrideOfBritain', 'id': '167345068'}]",928414078955065344,id: 928414078955065344,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '925120009566859264'}]",everyone,Twitter Web Client,"@theresa_may @PrideOfBritain And not one of them have off shore accounts, amazing.",2010-12-04T00:30:51.000Z,#ToryScum #ItWasAScam #IAdmireJeremyCorbyn,222638495,Stephen Jones,2281,4361,6,19487,snpjones58,False,
5,3564148282,author_id: 3564148282,coversation_id: 925120009566859264,925120009566859264,2017-11-08T08:34:02.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 13, 'end': 28, 'username': 'PrideOfBritain', 'id': '167345068'}]",928178786268532737,id: 928178786268532737,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '925120009566859264'}]",everyone,Twitter for iPad,@theresa_may @PrideOfBritain Is that little girl mouthing help?,2015-09-06T07:57:54.000Z,"Born London, Currently working for SEETECPLUSS previously-Travel Claims @ AXA, Adnams, M&S, Florida, L&G, Army plus too many to list here! love life and 😂",3564148282,Colin Parker-Chance 🌹🏳️‍🌈🏳️‍⚧️,33,244,0,2629,ColinPC62,False,
6,902646071633043456,author_id: 902646071633043456,coversation_id: 925120009566859264,925120009566859264,2017-11-07T22:17:47.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 13, 'end': 28, 'username': 'PrideOfBritain', 'id': '167345068'}]",928023705636261888,id: 928023705636261888,747807250819981312,en,1,0,0,1,"[{'type': 'replied_to', 'id': '925120009566859264'}]",everyone,Twitter for Android,@theresa_may @PrideOfBritain You want to leave EU but you are helping Nigerian government to kill Biafrans that want to leave Nigeria. An artificial country created by your forefathers. History shall judge you wrong.,2017-08-29T21:36:08.000Z,,902646071633043456,Opara Vali,381,3392,0,18982,ValiOpara,False,
7,2845068015,author_id: 2845068015,coversation_id: 925120009566859264,925120009566859264,2017-11-07T15:07:28.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 13, 'end': 28, 'username': 'PrideOfBritain', 'id': '167345068'}]",927915411286429698,id: 927915411286429698,747807250819981312,en,0,0,0,0,"[{'type': 'replied_to', 'id': '925120009566859264'}]",everyone,Twitter for Android,@theresa_may @PrideOfBritain Certainly no heroes in your government Theresa.,2014-10-26T12:21:02.000Z,"Remainer, Lefty/Woke Gayer. Atheist. What has the Monarchy ever done for you?",2845068015,Gabriel Earnest,2411,2516,6,23806,leftywoke,False,
8,806636764236484612,author_id: 806636764236484612,coversation_id: 925120009566859264,925120009566859264,2017-11-05T19:26:23.000Z,"[{'start': 0, 'end': 8, 'username': 'atkuru2', 'id': '4889151091'}, {'start': 9, 'end': 21, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 22, 'end': 37, 'username': 'PrideOfBritain', 'id': '167345068'}]",927255793547792384,id: 927255793547792384,4889151091,en,0,0,0,1,"[{'type': 'replied_to', 'id': '926376566296162306'}]",everyone,Twitter for Android,@atkuru2 @theresa_may @PrideOfBritain Suggest research late father's online notes.  Ask why she deleted them. Ask about Whstlblwr Melanie Shaw 2 yrs solitary after secret trial.,2016-12-07T23:09:25.000Z,"Shadowbanned Feb 2019 fightg fr Political prisoners #MelanieShaw & #CarolWoods. Silenced fr whistleblowg.  Exposg Common Purpose.
#CornwallCouncilCorruption 1-6",806636764236484612,Laura Thomas  @DOLWOAS.❌,2321,1813,1,58250,DOLWOAS,False,
9,806636764236484612,author_id: 806636764236484612,coversation_id: 925120009566859264,925120009566859264,2017-11-03T18:22:47.000Z,"[{'start': 0, 'end': 8, 'username': 'Soilfit', 'id': '171555138'}, {'start': 9, 'end': 21, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 22, 'end': 37, 'username': 'PrideOfBritain', 'id': '167345068'}]",926515014655205377,id: 926515014655205377,171555138,en,0,0,0,0,"[{'type': 'replied_to', 'id': '926411998375620608'}]",everyone,Twitter for Android,"@Soilfit @theresa_may @PrideOfBritain Mrs Dawson, pls wake up.  May had chld abuse victim Melanie Shaw sentcd 2 yrs solitary 4 whistleblowg Govt paedos.  May is corrupt/ disgustg",2016-12-07T23:09:25.000Z,"Shadowbanned Feb 2019 fightg fr Political prisoners #MelanieShaw & #CarolWoods. Silenced fr whistleblowg.  Exposg Common Purpose.
#CornwallCouncilCorruption 1-6",806636764236484612,Laura Thomas  @DOLWOAS.❌,2321,1813,1,58250,DOLWOAS,False,
10,806636764236484612,author_id: 806636764236484612,coversation_id: 925120009566859264,925120009566859264,2017-11-03T18:16:04.000Z,"[{'start': 0, 'end': 10, 'username': '_usa_news', 'id': '921446237773221889'}, {'start': 11, 'end': 19, 'username': 'atkuru2', 'id': '4889151091'}, {'start': 20, 'end': 32, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 33, 'end': 48, 'username': 'PrideOfBritain', 'id': '167345068'}]",926513322236792834,id: 926513322236792834,921446237773221889,en,0,0,1,1,"[{'type': 'replied_to', 'id': '926378635447209984'}]",everyone,Twitter for Android,@_usa_news @atkuru2 @theresa_may @PrideOfBritain May had paedo whistleblower Melanie Shaw sentcd to 2 yrs solitary in secret ct.  May deleted late fathers online detls.  Embarrassment ?,2016-12-07T23:09:25.000Z,"Shadowbanned Feb 2019 fightg fr Political prisoners #MelanieShaw & #CarolWoods. Silenced fr whistleblowg.  Exposg Common Purpose.
#CornwallCouncilCorruption 1-6",806636764236484612,Laura Thomas  @DOLWOAS.❌,2321,1813,1,58250,DOLWOAS,False,
11,882299317725384704,author_id: 882299317725384704,coversation_id: 925120009566859264,925120009566859264,2017-11-04T17:55:25.000Z,"[{'start': 8, 'end': 20, 'username': 'jhunterfeed', 'id': '1394298559730753546'}, {'start': 21, 'end': 36, 'username': 'PrideOfBritain', 'id': '167345068'}, {'start': 37, 'end': 49, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 50, 'end': 64, 'username': 'Conservatives', 'id': '14281853'}]",926870513066172416,id: 926870513066172416,302596208,en,1,0,0,0,"[{'type': 'replied_to', 'id': '926755962718912512'}]",everyone,Twitter Web App,"@ts0mev @jhunterfeed @PrideOfBritain @theresa_may @Conservatives Mike, we are not ranting - we are telling the truth.  May is covering up UK Govt child abusers.",2017-07-04T18:05:24.000Z,,882299317725384704,Laura E. Thomas,0,21,0,36,LauraEThomas2,False,
12,882299317725384704,author_id: 882299317725384704,coversation_id: 925120009566859264,925120009566859264,2017-11-04T17:53:36.000Z,"[{'start': 0, 'end': 12, 'username': 'jhunterfeed', 'id': '1394298559730753546'}, {'start': 13, 'end': 25, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 26, 'end': 41, 'username': 'PrideOfBritain', 'id': '167345068'}, {'start': 42, 'end': 56, 'username': 'Conservatives', 'id': '14281853'}]",926870056155394048,id: 926870056155394048,792611888915972096,en,0,0,0,0,"[{'type': 'replied_to', 'id': '925375689888550912'}]",everyone,Twitter Web App,"@jhunterfeed @theresa_may @PrideOfBritain @Conservatives Amazed that as a country, we put up with it.  May must be a psychopath that the criticism rolls off her.",2017-07-04T18:05:24.000Z,,882299317725384704,Laura E. Thomas,0,21,0,36,LauraEThomas2,False,
13,882299317725384704,author_id: 882299317725384704,coversation_id: 925120009566859264,925120009566859264,2017-11-04T17:50:22.000Z,"[{'start': 13, 'end': 25, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 26, 'end': 41, 'username': 'PrideOfBritain', 'id': '167345068'}]",926869244490518528,id: 926869244490518528,2779280758,en,0,0,0,0,"[{'type': 'replied_to', 'id': '926111169005449218'}]",everyone,Twitter Web App,"@mary_fawson @theresa_may @PrideOfBritain Mary, you really do need to learn about May.  A vile disgrace",2017-07-04T18:05:24.000Z,,882299317725384704,Laura E. Thomas,0,21,0,36,LauraEThomas2,False,
14,882299317725384704,author_id: 882299317725384704,coversation_id: 925120009566859264,925120009566859264,2017-11-04T17:48:31.000Z,"[{'start': 0, 'end': 12, 'username': 'theresa_may', 'id': '747807250819981312'}, {'start': 13, 'end': 28, 'username': 'PrideOfBritain', 'id': '167345068'}]",926868776527769600,id: 926868776527769600,747807250819981312,en,2,0,0,2,"[{'type': 'replied_to', 'id': '925120009566859264'}]",everyone,Twitter Web App,@theresa_may @PrideOfBritain Child abuse victim/govt paedo whstlblwr Melanie Shaw is an unsung heroine.  You had her sentcd 2 yrs solitary in secret trial.,2017-07-04T18:05:24.000Z,,882299317725384704,Laura E. Thomas,0,21,0,36,LauraEThomas2,False,
